ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
78674,"Aurelio ""Aleardo"" Menegazzi",M,23,NA,NA,Italy,ITA,1924 Summer,1924,Summer,Paris,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
49341,Juan Carlos Holgado Romero,M,24,178,70,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Team,Gold
78684,Herminio Menndez Rodrguez,M,22,180,86,Spain,ESP,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
78684,Herminio Menndez Rodrguez,M,26,180,86,Spain,ESP,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
78684,Herminio Menndez Rodrguez,M,26,180,86,Spain,ESP,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
78687,Osleidys Menndez Sez,F,20,175,80,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Javelin Throw,Bronze
78687,Osleidys Menndez Sez,F,24,175,80,Cuba,CUB,2004 Summer,2004,Summer,"Athens,GR",Athletics,Athletics Women's Javelin Throw,Gold
78703,Sarah Gabrielle Cabral de Menezes,F,22,154,48,Brazil,BRA,2012 Summer,2012,Summer,London,Judo,Judo Women's Extra-Lightweight,Gold
78706,Meng Guanliang,M,27,185,90,China,CHN,2004 Summer,2004,Summer,"Athens,GR",Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold
78706,Meng Guanliang,M,31,185,90,China,CHN,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold
78716,Meng Suping,F,27,173,123,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Super-Heavyweight,Gold
78732,Gemma Mengual Civil,F,31,173,54,Spain,ESP,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Duet,Silver
78732,Gemma Mengual Civil,F,31,173,54,Spain,ESP,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
78733,Franco Menichelli,M,19,163,60,Italy,ITA,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Team All-Around,Bronze
